DEBUG 2018-08-22 09:49:14,307 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,309 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,311 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,313 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,315 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,316 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,318 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,319 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,321 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,323 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,325 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,326 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,328 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,330 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,331 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,332 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,334 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,335 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,337 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,338 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,355 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: CREATE TABLE `wz_vehicle_info` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `vin` varchar(17) NOT NULL UNIQUE, `six_yards` varchar(6) NOT NULL, `vehicle_type` varchar(128) NOT NULL, `guidance_price` numeric(10, 2) NOT NULL, `status` smallint UNSIGNED NOT NULL, `storage_date` date NOT NULL, `out_date` date NOT NULL, `remarks` varchar(128) NOT NULL, `department_id` integer NOT NULL); (params None)
